2018-07-31 01:40:43,032 INFO  [[Throttler]] - Events in queue: [0]. Monitor window: [00:00:01]. Rate of events: [20].
2018-07-31 01:40:43,032 INFO  [[Throttler]] - Starting lightLoadTest...
2018-07-31 01:40:43,046 INFO  [[Throttler]] - Waited [00:00:00.006445],	 elements: [21]
2018-07-31 01:40:43,064 INFO  [[Throttler]] - Waited [00:00:00.014060],	 elements: [22]
2018-07-31 01:40:43,099 INFO  [[Throttler]] - Waited [00:00:00.032562],	 elements: [23]
2018-07-31 01:40:43,171 INFO  [[Throttler]] - Waited [00:00:00.067574],	 elements: [24]
2018-07-31 01:40:43,311 INFO  [[Throttler]] - Waited [00:00:00.139236],	 elements: [25]
2018-07-31 01:40:43,593 INFO  [[Throttler]] - Waited [00:00:00.279870],	 elements: [26]
2018-07-31 01:40:44,159 INFO  [[Throttler]] - Waited [00:00:00.562203],	 elements: [27]
2018-07-31 01:40:45,161 INFO  [[Throttler]] - Waited [00:00:00.994148],	 elements: [21]
2018-07-31 01:40:45,185 INFO  [[Throttler]] - Waited [00:00:00.009711],	 elements: [21]
2018-07-31 01:40:45,209 INFO  [[Throttler]] - Waited [00:00:00.022192],	 elements: [22]
2018-07-31 01:40:45,259 INFO  [[Throttler]] - Waited [00:00:00.045985],	 elements: [23]
2018-07-31 01:40:45,360 INFO  [[Throttler]] - Waited [00:00:00.095923],	 elements: [24]
2018-07-31 01:40:45,560 INFO  [[Throttler]] - Waited [00:00:00.197014],	 elements: [25]
2018-07-31 01:40:45,962 INFO  [[Throttler]] - Waited [00:00:00.396932],	 elements: [26]
2018-07-31 01:40:46,762 INFO  [[Throttler]] - Waited [00:00:00.798713],	 elements: [27]
2018-07-31 01:40:47,595 INFO  [[Throttler]] - Waited [00:00:00.813643],	 elements: [21]
2018-07-31 01:40:48,431 INFO  [[Throttler]] - Waited [00:00:00.832930],	 elements: [21]
2018-07-31 01:40:49,292 INFO  [[Throttler]] - Waited [00:00:00.845449],	 elements: [21]
2018-07-31 01:40:50,155 INFO  [[Throttler]] - Waited [00:00:00.861338],	 elements: [21]
2018-07-31 01:40:51,034 INFO  [[Throttler]] - Waited [00:00:00.868042],	 elements: [21]
2018-07-31 01:40:51,917 INFO  [[Throttler]] - Waited [00:00:00.879321],	 elements: [21]
2018-07-31 01:40:52,823 INFO  [[Throttler]] - Waited [00:00:00.894084],	 elements: [21]
2018-07-31 01:40:53,734 INFO  [[Throttler]] - Waited [00:00:00.905182],	 elements: [21]
2018-07-31 01:40:54,668 INFO  [[Throttler]] - Waited [00:00:00.920812],	 elements: [21]
2018-07-31 01:40:55,606 INFO  [[Throttler]] - Waited [00:00:00.934490],	 elements: [21]
2018-07-31 01:40:56,567 INFO  [[Throttler]] - Waited [00:00:00.947861],	 elements: [21]
2018-07-31 01:40:57,532 INFO  [[Throttler]] - Waited [00:00:00.961151],	 elements: [21]
2018-07-31 01:40:58,525 INFO  [[Throttler]] - Waited [00:00:00.976531],	 elements: [21]
2018-07-31 01:40:59,523 INFO  [[Throttler]] - Waited [00:00:00.992786],	 elements: [21]
2018-07-31 01:40:59,543 INFO  [[Throttler]] - Waited [00:00:00.009388],	 elements: [21]
2018-07-31 01:40:59,568 INFO  [[Throttler]] - Waited [00:00:00.019349],	 elements: [22]
2018-07-31 01:40:59,618 INFO  [[Throttler]] - Waited [00:00:00.045131],	 elements: [23]
2018-07-31 01:40:59,718 INFO  [[Throttler]] - Waited [00:00:00.094194],	 elements: [24]
2018-07-31 01:40:59,918 INFO  [[Throttler]] - Waited [00:00:00.194517],	 elements: [25]
2018-07-31 01:41:00,318 INFO  [[Throttler]] - Waited [00:00:00.394809],	 elements: [26]
2018-07-31 01:41:01,117 INFO  [[Throttler]] - Waited [00:00:00.793996],	 elements: [27]
2018-07-31 01:41:01,938 INFO  [[Throttler]] - Waited [00:00:00.809447],	 elements: [21]
2018-07-31 01:41:02,760 INFO  [[Throttler]] - Waited [00:00:00.820878],	 elements: [21]
2018-07-31 01:41:03,601 INFO  [[Throttler]] - Waited [00:00:00.830690],	 elements: [21]
2018-07-31 01:41:04,443 INFO  [[Throttler]] - Waited [00:00:00.840325],	 elements: [21]
2018-07-31 01:41:05,309 INFO  [[Throttler]] - Waited [00:00:00.852181],	 elements: [21]
2018-07-31 01:41:06,178 INFO  [[Throttler]] - Waited [00:00:00.866311],	 elements: [21]
2018-07-31 01:41:07,068 INFO  [[Throttler]] - Waited [00:00:00.877838],	 elements: [21]
2018-07-31 01:41:07,959 INFO  [[Throttler]] - Waited [00:00:00.890193],	 elements: [21]
2018-07-31 01:41:08,876 INFO  [[Throttler]] - Waited [00:00:00.901905],	 elements: [21]
2018-07-31 01:41:09,795 INFO  [[Throttler]] - Waited [00:00:00.916935],	 elements: [21]
2018-07-31 01:41:10,735 INFO  [[Throttler]] - Waited [00:00:00.928821],	 elements: [21]
2018-07-31 01:41:11,679 INFO  [[Throttler]] - Waited [00:00:00.940393],	 elements: [21]
2018-07-31 01:41:12,649 INFO  [[Throttler]] - Waited [00:00:00.953965],	 elements: [21]
2018-07-31 01:41:13,624 INFO  [[Throttler]] - Waited [00:00:00.970197],	 elements: [21]
2018-07-31 01:41:14,623 INFO  [[Throttler]] - Waited [00:00:00.985083],	 elements: [21]
2018-07-31 01:41:14,650 INFO  [[Throttler]] - Waited [00:00:00.011179],	 elements: [21]
2018-07-31 01:41:14,681 INFO  [[Throttler]] - Waited [00:00:00.024433],	 elements: [22]
2018-07-31 01:41:14,742 INFO  [[Throttler]] - Waited [00:00:00.055029],	 elements: [23]
2018-07-31 01:41:14,860 INFO  [[Throttler]] - Waited [00:00:00.115683],	 elements: [24]
2018-07-31 01:41:15,099 INFO  [[Throttler]] - Waited [00:00:00.234472],	 elements: [25]
2018-07-31 01:41:15,577 INFO  [[Throttler]] - Waited [00:00:00.473473],	 elements: [26]
